,id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2783,1292428,Chelsea,Manhattan,40.74329509588562,-73.9983230145098,2,1.0,1.0,1.0,$119.00,76,92,94.0,9.0,10.0,10.0,10.0,10.0
40876,27628293,Bedford-Stuyvesant,Brooklyn,40.67855704148056,-73.93536241048024,5,1.0,2.0,3.0,$121.00,48,16,89.0,9.0,10.0,10.0,8.0,9.0
3739,2036105,Dyker Heights,Brooklyn,40.62830492675043,-74.01607798415745,1,1.0,1.0,1.0,$27.00,345,66,80.0,8.0,9.0,9.0,8.0,9.0
8186,5562775,Kips Bay,Manhattan,40.743569412516514,-73.97626322047492,2,1.0,1.0,2.0,$160.00,0,19,89.0,9.0,10.0,10.0,9.0,9.0
44635,29800915,Allerton,Bronx,40.86115554615543,-73.86247647774226,4,1.0,1.0,2.0,$55.00,351,12,87.0,9.0,10.0,10.0,10.0,9.0
10727,7519160,Upper West Side,Manhattan,40.7777810488198,-73.97810356314899,2,1.0,1.0,1.0,$133.00,245,158,99.0,10.0,10.0,10.0,10.0,10.0
18511,13355711,Washington Heights,Manhattan,40.8509999895002,-73.93140957211858,1,1.0,1.0,1.0,$35.00,0,1,100.0,10.0,8.0,10.0,8.0,10.0
895,294227,Greenpoint,Brooklyn,40.73682674340475,-73.95429620937541,4,1.0,0.0,2.0,$199.00,243,41,98.0,10.0,10.0,10.0,9.0,10.0
19949,14090133,Coney Island,Brooklyn,40.57379987146344,-73.99044132201249,2,1.0,0.0,1.0,$100.00,0,2,100.0,10.0,10.0,10.0,10.0,10.0
2272,921862,Upper West Side,Manhattan,40.78859825712244,-73.97552958498319,4,1.0,1.0,1.0,$190.00,335,26,93.0,9.0,9.0,9.0,10.0,9.0
8657,6052129,East Harlem,Manhattan,40.79815931813408,-73.94111492918306,2,1.0,1.0,1.0,$149.00,2,12,95.0,10.0,10.0,10.0,10.0,10.0
38361,26013215,Greenpoint,Brooklyn,40.73585740942432,-73.9590291967453,2,1.0,1.0,1.0,$70.00,63,31,95.0,9.0,10.0,10.0,9.0,10.0
26770,19189347,Inwood,Manhattan,40.86702370579831,-73.92518537923992,5,1.0,1.0,1.0,$110.00,177,14,100.0,10.0,10.0,10.0,10.0,10.0
7649,4994352,Astoria,Queens,40.76937977899089,-73.91952314355383,2,2.0,1.0,1.0,$79.00,0,2,100.0,9.0,10.0,10.0,10.0,10.0
32176,21967259,Chelsea,Manhattan,40.74917592663646,-74.00369437723009,4,2.5,2.0,2.0,$800.00,0,11,100.0,10.0,10.0,10.0,10.0,10.0
15635,10958463,East Harlem,Manhattan,40.79225572006162,-73.93895121192543,2,1.0,1.0,1.0,$75.00,23,68,97.0,10.0,10.0,10.0,9.0,9.0
17179,12469563,Chelsea,Manhattan,40.74981443534063,-73.9969274973755,10,2.0,4.0,4.0,$923.00,365,23,93.0,9.0,9.0,9.0,10.0,9.0
43435,29191862,Upper East Side,Manhattan,40.76869439525202,-73.95007396892662,2,1.0,1.0,1.0,$150.00,49,7,100.0,10.0,10.0,10.0,10.0,10.0
